address,area,price
"Санкт-Петербург, Санкт-Петербург, Петровский пр-кт, 2",96.0,284552
"Санкт-Петербург, Санкт-Петербург, Уральская ул, 6к3",134.5,105948
"Санкт-Петербург, Санкт-Петербург, Уральская ул, 6",129.5,136845
"Санкт-Петербург, Санкт-Петербург, Мартынова наб, 74Б",187.5,418880
"Санкт-Петербург, ул. Салова, стр. 61, лит. А",36.0,147288
"Санкт-Петербург, ул. Оптиков, 37",25.6,125586
"Санкт-Петербург, Комендантский пр-т, 55к1",33.0,108485
"Санкт-Петербург, ул. Тележная, стр. 17-19, лит. А",52.6,262250
"Санкт-Петербург, ш. Петергофское, д. 76, корп. 29, лит. А",61.9,98207
"Санкт-Петербург, Двинская ул., 8к3",99.2,83669
"Санкт-Петербург, ул. Школьная, 2 оч.",25.8,94999
"Санкт-Петербург, тер. Ленсоветовский, уч. 113",25.8,71972
"Санкт-Петербург, ул. Парашютная, стр. 24",86.1,99117
"Санкт-Петербург, Приморский пр-т, 52к1",122.0,213115
"Санкт-Петербург, Краснопутиловская ул., 113к1",108.6,211786
"Санкт-Петербург, пос. Парголово, ул. Валерия Гаврилина, 5",40.0,118000
"Санкт-Петербург, Яхтенная ул., 28",34.4,155523
"Санкт-Петербург, Кронштадт",24.6,126016
"Санкт-Петербург, б-р Головнина, 10",80.0,144375
"Санкт-Петербург, Пулковское ш., 40к3",54.7,127788
"Санкт-Петербург, Сибирская ул., 16",33.3,141141
"Санкт-Петербург, пр-т Героев, стр. 33",37.5,138667
"Санкт-Петербург, Ленинский пр-т, 64к1",27.0,109259
"Санкт-Петербург, пос. Новогорелово, ул. Промышленная, стр. 31",40.9,83130
"Санкт-Петербург, б-р Александра Грина, д. 3, стр. 1",23.3,156223
"Санкт-Петербург, Санкт-Петербург, проспект Науки",43.7,160183
"Санкт-Петербург, пр-т Московский, д. 181, лит. А",76.8,146170
"Санкт-Петербург, пр-т Обуховской Обороны, д. 70, корп. 2, лит. Е",72.1,154757
"Санкт-Петербург, ул. 20-я линия В.О., д. 5-7, лит. А, корп. 1",99.0,217768
"Санкт-Петербург, пр-т Патриотов, стр. 3",58.3,108285
"Санкт-Петербург, ул. Салова, стр. 61, лит. А",36.0,147288
"Санкт-Петербург, тер. Ленсоветовский, уч. 113",25.8,71972
"Санкт-Петербург, Краснопутиловская ул., 113к1",108.6,211786
"Санкт-Петербург, пр-т Обуховской Обороны, д. 70, корп. 2, лит. Е",72.1,154757
"Санкт-Петербург, пр-т Энгельса, этап 2",52.4,92233
"Санкт-Петербург, Московское ш., уч. 302",69.0,108507
"Санкт-Петербург, Невский район, жилой комплекс Цивилизация",37.2,120000
"Санкт-Петербург, пр-т Патриотов, стр. 1",42.3,122530
"Санкт-Петербург, ул. 20-я линия В.О., д. 5-7, лит. А, корп. 1",71.3,208766
"Санкт-Петербург, Московское ш., стр. 13, лит. ВВ",46.4,112328
"Санкт-Петербург, ул. Парашютная, стр. 21",54.0,101963
"Санкт-Петербург, пр-т Патриотов, стр. 5",109.5,128484
"Санкт-Петербург, ул. Катерников, д. 6, корп. 1, лит. А",81.0,182475
"Санкт-Петербург, наб. Чёрной речки, 3Д",38.2,188901
"Санкт-Петербург, ул. Катерников, д. 10, корп. 1, лит. А",60.0,149848
"Санкт-Петербург, ул. Тамбасова/Пограничника Гарькавого/Новобелицкой/пр. Ветеранов, уч. 94",88.4,95726
"Санкт-Петербург, территория Усть-Славянка, Славянская ул., 24",34.3,107872
"Санкт-Петербург, ул. Катерников, д. 8, лит. А",70.0,169744
"Санкт-Петербург, пос. Парголово, ул. Фёдора Абрамова, 23к1",21.7,106912
"Санкт-Петербург, б-р Александра Грина, д. 3, стр. 1",38.3,111332
"Санкт-Петербург, наб. Октябрьская, стр. 42",40.4,137500
"Санкт-Петербург, ул. Парфеновская, уч. 3, стр. 4.7-3",58.8,137504
"Санкт-Петербург, ул. Малая Митрофаньевская, уч. 38, секция 1",66.4,124706
"Санкт-Петербург, пр-т Московский, д. 183-185, лит. А",61.6,131579
"Санкт-Петербург, Комендантский пр-т, 60к2",34.3,154519
"Санкт-Петербург, Суздальское ш., 12к2",87.7,108894
"Санкт-Петербург, Лыжный пер., 2",70.0,152857
"Санкт-Петербург, пос. Шушары, территория Славянка, Изборская ул., 3к1",46.0,86957
"Санкт-Петербург, ул. Швецова, 8",31.6,134494
"Санкт-Петербург, ш. Московское, д. 13, лит. АМ",27.9,130466
"Санкт-Петербург, Россия, Санкт-Петербург, Среднерогатская улица, 13к2",52.6,144487
"Санкт-Петербург, пр-т Королёва, 59к4",26.1,136015
"Санкт-Петербург, Приморский пр-т, 62к1",123.1,186109
"Санкт-Петербург, Пискарёвский пр-т, 145к2",56.3,87389
"Санкт-Петербург, Московский пр-т, 183-185",140.3,156058
"Санкт-Петербург, пр-т Тореза, 118",145.4,139959
"Санкт-Петербург, Глухарская ул., 3",35.3,102408
"Санкт-Петербург, ул. Вадима Шефнера, стр. 2",71.0,91052
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",66.0,96036
"Санкт-Петербург, Санкт-Петербург, территория Пороховые",36.6,76639
"Санкт-Петербург, ул. Среднерогатская, д. 12, корп. 1",36.0,133333
"Санкт-Петербург, Россия, Санкт-Петербург, Аптекарский проспект, 18",39.1,219182
"Санкт-Петербург, ул. Парашютная, стр. 24",64.7,100062
"Санкт-Петербург, ул. 20-я линия В.О., д. 5-7, лит. А, корп. 1",99.0,217768
"Санкт-Петербург, пр-т Патриотов, стр. 3",58.3,108285
"Санкт-Петербург, пр-т Энгельса, этап 2",52.4,92233
"Санкт-Петербург, Санкт-Петербург, территория Пороховые",69.0,69304
"Санкт-Петербург, ул. Школьная, 1 оч.",24.9,97885
"Санкт-Петербург, б-р Александра Грина, д. 3, стр. 1",25.0,122720
"Санкт-Петербург, Пулковское ш., 22к3",56.0,125000
"Санкт-Петербург, Шуваловский пр-т, 41к1",108.0,106481
"Санкт-Петербург, ул. Вишерская/пр-т Новгородский, стр. 33.1",79.0,54430
"Санкт-Петербург, пр-т Патриотов, стр. 5",62.7,108947
"Санкт-Петербург, б-р Александра Грина, 1",41.0,107317
"Санкт-Петербург, Днепропетровская ул., 23",65.0,126923
"Санкт-Петербург, ул. Адмирала Черокова, 18к2",88.0,181705
"Санкт-Петербург, ул. Парашютная, д. 42, корп. 1, стр. 1",34.5,126058
"Санкт-Петербург, ш. Московское, д. 13, лит. АМ",35.7,119440
"Санкт-Петербург, Санкт-Петербург, Петергофское шоссе, 86к3",53.2,95725
"Санкт-Петербург, 5-й Предпортовый пр., 2",36.2,133923
"Санкт-Петербург, ул. Плесецкая, д. 20, корп. 1",24.4,122951
"Санкт-Петербург, пр-т Патриотов, стр. 6",64.3,113048
"Санкт-Петербург, ул. Савушкина, 127",77.0,181818
"Санкт-Петербург, территория Лахта, Новая ул., 51к2",80.0,131250
"Санкт-Петербург, Ольгинская дор., уч. 6",35.9,124162
"Санкт-Петербург, ул. Грибалёвой, д. 9, корп. 1",57.9,168456
"Санкт-Петербург, ул. Кораблестроителей, 40к2",75.0,116000
"Санкт-Петербург, Московское ш.",69.0,32899
"Санкт-Петербург, Санкт-Петербург, Пионерская ул, 16",46.0,280435
"Санкт-Петербург, пр-т Комендантский, стр. 7.4",38.1,112336
"Санкт-Петербург, пр-т Энгельса, этап 1",25.6,116472
"Санкт-Петербург, г Санкт-Петербург, Антокольский пер, 4 к1 с1",43.7,109840
"Санкт-Петербург, Октябрьская наб., уч. 2",24.8,100958
"Санкт-Петербург, пр-т Коломяжский, стр. 13, лит. А",35.8,133701
"Санкт-Петербург, наб. Октябрьская, стр. А",25.7,120623
"Санкт-Петербург, ул. Днепропетровская, д. 65",64.6,131000
"Санкт-Петербург, Днепропетровская ул., 65",84.0,124524
"Санкт-Петербург, ул. Глухарская, уч. 18",22.0,102955
"Санкт-Петербург, пр-т Патриотов, стр. 4",36.7,117466
"Санкт-Петербург, пос. Парголово, Тихоокеанская ул., 1к2",33.0,77273
"Санкт-Петербург, ул. Невзоровой, стр. 8",68.8,116540
"Санкт-Петербург, пр-т Стачек, секция 9-11",58.6,114739
"Санкт-Петербург, ул. Земледельческая, д. 3, лит. Б",36.9,126724
"Санкт-Петербург, пр-т Обуховской Обороны, 138к2",27.7,142599
"Санкт-Петербург, ул. Глухарская, 1 этап",39.5,91622
"Санкт-Петербург, Московское ш., уч. 302",69.0,108507
"Санкт-Петербург, Невский район, жилой комплекс Цивилизация",37.2,120000
"Санкт-Петербург, пр-т Патриотов, стр. 1",42.3,122530
"Санкт-Петербург, ул. 20-я линия В.О., д. 5-7, лит. А, корп. 1",71.3,208766
"Санкт-Петербург, Юнтоловский пр-т, 42к2",34.0,109412
"Санкт-Петербург, Россия, Санкт-Петербург, Пискаревский пр-кт",80.6,109817
"Санкт-Петербург, Октябрьская наб., 44",34.7,159366
"Санкт-Петербург, Петергофское ш., стр. 4",34.3,143458
"Санкт-Петербург, ул. Среднерогатская, д. 12, корп. 1",37.6,117648
"Санкт-Петербург, ул. Оптиков, 37",37.0,167568
"Санкт-Петербург, пр-т Ветеранов, д. 171, корп. 5",35.3,120397
"Санкт-Петербург, Петергофское ш., стр. 3",28.0,146443
"Санкт-Петербург, ул. Школьная, 2 оч.",26.2,92681
"Санкт-Петербург, пр-т Энгельса, д. 2",32.4,123148
"Санкт-Петербург, пр-т Институтский, стр. 16А, корп. 1",134.4,243673
"Санкт-Петербург, пр-т Комендантский, стр. 6",27.9,107527
"Санкт-Петербург, Санкт-Петербург, Реки Смоленки наб, 3к1",67.0,193881
"Санкт-Петербург, Россия, Санкт-Петербург, Петергофское шоссе, 45",82.7,128174
"Санкт-Петербург, ул. Благодатная, д. 57, лит. А",49.0,170639
"Санкт-Петербург, пр-т Комендантский, стр. 54",135.5,143717
"Санкт-Петербург, ул. Чарушинская, д. 8, стр. 1",36.4,98901
"Санкт-Петербург, пр-т Дальневосточный, д. 12, корп. 2",136.8,153472
"Санкт-Петербург, Санкт-Петербург, Парашютная улица, 61к4",110.0,104545
"Санкт-Петербург, Санкт-Петербург, Комендантский пр-кт, 13к1",87.0,201149
"Санкт-Петербург, ул. Тамбасова, уч. 94",87.0,77000
"Санкт-Петербург, пр-т Комендантский, стр. 61",42.0,109980
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",32.0,122625
"Санкт-Петербург, ул. Плесецкая, д. 20, корп. 1",25.0,136000
"Санкт-Петербург, ул. Юрия Гагарина, стр. 32, лит. В, корп. 4",62.7,99522
"Санкт-Петербург, пр-т Героев, стр. 31",78.2,136174
"Санкт-Петербург, пр-т Героев, стр. 33",68.8,147576
"Санкт-Петербург, пр-т Московский, стр. 3",95.6,222716
"Санкт-Петербург, Петергофское ш., стр. 1",84.0,127115
"Санкт-Петербург, ул. Тихоокеанская, Корпус 27",73.7,55500
"Санкт-Петербург, Ленинский пр-т, 114",98.0,121939
"Санкт-Петербург, ул. Ушинского, 45В",35.0,81714
"Санкт-Петербург, пр-т Королева/ул. Плесецкая/Глухарская, уч. 307, стр. 2",36.3,112948
"Санкт-Петербург, Московское ш., стр. 13, лит. ВВ",46.4,112328
"Санкт-Петербург, пр-т Обуховской Обороны, д. 70, корп. 2, лит. Е",58.5,127094
"Санкт-Петербург, ул. Парашютная, стр. 21",54.0,101963
"Санкт-Петербург, пр-т Энгельса, этап 2",48.1,88794
"Санкт-Петербург, пр-т Героев, д. 33",138.0,151004
"Санкт-Петербург, пр-т Московский, стр. 3",101.9,194955
"Санкт-Петербург, ул. Лётчика Лихолетова, 14к4",34.0,113235
"Санкт-Петербург, ул. Салова, 61",24.0,154167
"Санкт-Петербург, пос. Парголово, Тихоокеанская ул., 1к2",40.5,62469
"Санкт-Петербург, пр-т Энгельса, стр. 18А",38.0,101316
"Санкт-Петербург, Волховский пер., 4",125.0,256000
"Санкт-Петербург, Московское ш.",89.5,31732
"Санкт-Петербург, Парашютная ул., 44к1",23.0,134783
"Санкт-Петербург, Комендантский пр-т",51.0,45098
"Санкт-Петербург, 191025, Санкт-Петербург г, Стремянная ул, дом № 15/1, литера А",92.9,306781
"Санкт-Петербург, 197374, Санкт-Петербург г, Приморский пр-кт, дом № 46, строение 1",68.6,288630
"Санкт-Петербург, ул. Глухарская, 1 этап",22.9,105814
"Санкт-Петербург, Ленинградская область, Всеволожский район, Мурино, улица Шувалова",52.0,67308
"Санкт-Петербург, Приморский район, муниципальный округ Коломяги",59.1,117936
"Санкт-Петербург, Красносельский район, муниципальный округ Сосновая Поляна",80.0,104000
"Санкт-Петербург, пос. Новогорелово, 8",57.3,69459
"Санкт-Петербург, Невская губа, уч. 8",96.1,144641
"Санкт-Петербург, Санкт-Петербург, Комендантский проспект",57.0,38947
"Санкт-Петербург, Санкт-Петербург, проспект Тореза",74.0,39054
"Санкт-Петербург, пр-т Героев, стр. 33",110.0,159082
"Санкт-Петербург, Ленинградская область, Ломоносовский район, Виллозское городское поселение, посёлок Новогорелово, 8",35.7,66106
"Санкт-Петербург, Орлово-Денисовский пр-т, 19к3",49.5,102828
"Санкт-Петербург, 191015, Санкт-Петербург, Кирочная ул, дом № 64",103.0,225243
"Санкт-Петербург, 26-я линия В.О., 7",48.0,186458
"Санкт-Петербург, 197110, Санкт-Петербург г, Динамо пр-кт, дом № 6, участок А",160.0,550000
"Санкт-Петербург, 197022, Санкт-Петербург г, Каменноостровский пр-кт, дом № 64, корпус 2, участок А",176.2,329171
"Санкт-Петербург, 195027, Санкт-Петербург г, Свердловская наб, дом № 58, участок А",86.3,184241
"Санкт-Петербург, 191124, Санкт-Петербург г, Новгородская ул, дом № 23, участок А",81.5,263804
"Санкт-Петербург, Комендантский пр-т, 71",34.2,134503
"Санкт-Петербург, 197110, Санкт-Петербург г, Петрозаводская ул, дом № 13, участок А",139.5,204301
"Санкт-Петербург, 190000, Санкт-Петербург г, Смольного ул, дом № 4, корпус 2",54.0,407407
"Санкт-Петербург, ул. Лётчика Лихолетова, 14к2",24.7,107287
"Санкт-Петербург, Юнтоловский пр-т, 53к1",54.0,105556
"Санкт-Петербург, 190000, Санкт-Петербург г, Невский пр-кт, дом № 137",195.0,256359
"Санкт-Петербург, ул. Глухарская, уч. 18",21.1,116114
"Санкт-Петербург, Октябрьская наб., уч. 1, 2",30.6,101307
"Санкт-Петербург, Мурино, жилой комплекс Материк",34.8,77586
"Санкт-Петербург, 197183, Санкт-Петербург, Дибуновская ул, дом № 50",120.0,233333
"Санкт-Петербург, Гжатская ул., 22к2",62.3,168539
"Санкт-Петербург, 196084, Санкт-Петербург г, Смоленская ул, дом № 14",115.0,165130
"Санкт-Петербург, 199406, Санкт-Петербург г, Средний В.О. пр-кт, дом № 85, участок А",73.0,217808
"Санкт-Петербург, 191124, Санкт-Петербург г, Смольный пр-кт, дом № 17",108.2,253235
"Санкт-Петербург, 191144, Санкт-Петербург г, Моисеенко ул, дом № 5",73.6,240489
"Санкт-Петербург, ул. Катерников, д. 6, корп. 1, лит. А",81.0,182475
"Санкт-Петербург, пр-т Патриотов, стр. 1",58.0,122252
"Санкт-Петербург, наб. Чёрной речки, 3Д",38.2,188901
"Санкт-Петербург, 191060, Санкт-Петербург г, Смольный пр-кт, дом № 17",113.0,251327
"Санкт-Петербург, 197110, Санкт-Петербург г, Ждановская ул, дом № 10",67.8,240413
"Санкт-Петербург, пос. Парголово, ул. Михаила Дудина, 25к2",60.8,106908
"Санкт-Петербург, Россия, Санкт-Петербург, Санкт-Петербург, Оптиков ул, 34 корпус 1, Приморский",25.0,176000
"Санкт-Петербург, пос. Шушары, территория Ленсоветовский, 13",52.1,70000
"Санкт-Петербург, Комендантский пр-т",59.0,30000
"Санкт-Петербург, Дивенская ул., 11",97.1,225541
"Санкт-Петербург, ул. Профессора Попова, 37к3",130.5,268199
"Санкт-Петербург, ул. Глухарская, уч. 29",57.6,130208
"Санкт-Петербург, Морская наб., 21к2",170.1,158671
"Санкт-Петербург, Россия, Санкт-Петербург, Санкт-Петербург, Дибуновская ул, 50, Приморский",82.2,165450
"Санкт-Петербург, 191124, Санкт-Петербург г, Смольного ул, дом № 2, корпус 3",54.3,402210
"Санкт-Петербург, Дальневосточный пр-т, 25к1",69.0,114203
"Санкт-Петербург, Конногвардейский б-р, 5",95.5,575916
"Санкт-Петербург, 190000, Санкт-Петербург г, Конногвардейский б-р, дом № 5",190.0,378947
"Санкт-Петербург, 191036, Санкт-Петербург г, Полтавский проезд, дом № 2, участок А",100.0,199000
"Санкт-Петербург, 196143, Санкт-Петербург г, Ленсовета ул, дом № 34, участок А",246.0,223577
"Санкт-Петербург, Комендантский пр-т, 55 к1",42.2,120853
"Санкт-Петербург, Комендантский пр-т, 62",33.3,123123
"Санкт-Петербург, Туристская, 23 к4",49.6,135081
"Санкт-Петербург, Мебельная, 21 к2",41.0,129268
"Санкт-Петербург, Комендантский пр-т, 51 к1",46.6,101996
"Санкт-Петербург, Маршала Казакова, 70 к1",36.9,111111
"Санкт-Петербург, Вилеровский пер., 6",54.7,105119
"Санкт-Петербург, Новгородский пр-т, 4",24.0,124583
"Санкт-Петербург, Большевиков пр-т, 7 к3",75.0,166667
"Санкт-Петербург, Галицкая, 8 к2",65.8,85106
"Санкт-Петербург, Воронцовский бульвар, 12",38.5,97273
"Санкт-Петербург, Грибалёвой, 7 к4",72.7,178817
"Санкт-Петербург, Лыжный пер., 4 к3",33.1,143505
"Санкт-Петербург, Парашютная, 34 к1",28.1,125979
"Санкт-Петербург, Октябрьская наб., д. 44, стр. 1",25.3,126482
"Санкт-Петербург, Советский пр., 39 к1",34.6,118468
"Санкт-Петербург, ул. Шувалова, стр. 2",40.3,75682
"Санкт-Петербург, Крыленко, 1 к1стр1",66.0,118182
"Санкт-Петербург, Яхтенная, 34",37.9,142480
"Санкт-Петербург, Екатерининская (Мурино), 22 к1",28.0,101321
"Санкт-Петербург, Яхтенная, 28 к1",24.4,180328
"Санкт-Петербург, Валерия Гаврилина, 5",77.0,125325
"Санкт-Петербург, Вилькицкий бульв., 4стр1",50.0,147000
"Санкт-Петербург, Русановская, 16 к3",33.0,111970
"Санкт-Петербург, земли САОЗТ «Ручьи», стр. 2.12",25.0,124000
"Санкт-Петербург, Коломяжский пр-т, 20",78.0,117179
"Санкт-Петербург, Ильюшина, 6",58.0,110345
"Санкт-Петербург, Ленинский пр-т, 64 к1",94.0,100649
"Санкт-Петербург, 5-й Предпортовый пр., 2",32.0,137500
"Санкт-Петербург, Комендантский пр-т, 60 к1",36.3,134986
"Санкт-Петербург, Туристская, 15 к2",60.0,133333
"Санкт-Петербург, ул. Катерников, д. 6, корп. 1, лит. А",68.0,138232
"Санкт-Петербург, ул. Катерников, д. 10, корп. 1, лит. А",60.0,149848
"Санкт-Петербург, пр-т Патриотов, стр. 1",56.0,129000
"Санкт-Петербург, ул. Катерников, д. 8, лит. А",70.0,169744
"Санкт-Петербург, 33057, 6 к2",36.6,95628
"Санкт-Петербург, Октябрьская наб., уч. 1, 2",32.0,99375
"Санкт-Петербург, Комендантский пр-т, 60к1",36.1,155125
"Санкт-Петербург, пр-т Средний В.О., стр. 3",60.0,151049
"Санкт-Петербург, Будапештская ул., 102",60.0,151500
"Санкт-Петербург, ул. Школьная, 1 оч.",26.2,92427
"Санкт-Петербург, Общественный пер., 5",61.0,146653
"Санкт-Петербург, ул. Вязовая, д. 8",135.1,496125
"Санкт-Петербург, 193231, Санкт-Петербург г, Большевиков пр-кт, дом № 7, корпус 3, участок А",147.7,196344
"Санкт-Петербург, Санкт-Петербург, 2 линия, метро Московская",33.3,165165
